naics2017|bcid|bc1|bc2|bc3
623220|14-206-322|Health Care|Residential Care Facilities|Mental Health and Substance Abuse Facilities
623311|14-206-210|Health Care|Residential Care Facilities|Elderly Care Facilities
623312|14-206-210|Health Care|Residential Care Facilities|Elderly Care Facilities
623990|14-206-405|Health Care|Residential Care Facilities|Other Residential Care Facilities
624110|20-210-162|Civic Organizations|Social Assistance|Child and Youth Services
624120|20-210-480|Civic Organizations|Social Assistance|Services for the Elderly and Disabled
624190|20-210-389|Civic Organizations|Social Assistance|Other Individual and Family Services
624210|20-210-176|Civic Organizations|Social Assistance|Community Food Services
624221|20-210-177|Civic Organizations|Social Assistance|Community Housing Services
624229|20-210-177|Civic Organizations|Social Assistance|Community Housing Services
624230|20-210-217|Civic Organizations|Social Assistance|Emergency and Other Relief Services
624310|20-210-526|Civic Organizations|Social Assistance|Vocational Rehabilitation Services
624410|20-210-161|Civic Organizations|Social Assistance|Child Day Care Services
711110|13-192-508|Arts and Entertainment|Performing Arts Companies|Theater Companies and Dinner Theaters
711120|13-192-198|Arts and Entertainment|Performing Arts Companies|Dance Companies
711130|13-192-336|Arts and Entertainment|Performing Arts Companies|Musical Groups and Artists
711190|13-192-399|Arts and Entertainment|Performing Arts Companies|Other Performing Arts Companies
711211|13-215-495|Arts and Entertainment|Spectator Sports|Sports Teams and Clubs
711212|13-215-455|Arts and Entertainment|Spectator Sports|Racetracks
711219|13-215-410|Arts and Entertainment|Spectator Sports|Other Spectator Sports
711310|13-201-225|Arts and Entertainment|Promoters|Facility Event Promoters
711320|13-201-344|Arts and Entertainment|Promoters|Non-facility Event Promoters
711410|13-106-125|Arts and Entertainment|Arts Agents and Managers|Arts Agents and Managers
711510|13-159-283|Arts and Entertainment|Independent Artists|Independent Artists
712110|13-180-334|Arts and Entertainment|Museums and Parks|Museums
712120|13-180-271|Arts and Entertainment|Museums and Parks|Historical Sites
712130|13-180-542|Arts and Entertainment|Museums and Parks|Zoos and Botanical Gardens
712190|13-180-341|Arts and Entertainment|Museums and Parks|Nature Parks
713110|13-103-118|Arts and Entertainment|Amusement Parks and Arcades|Amusement and Theme Parks
713120|13-103-117|Arts and Entertainment|Amusement Parks and Arcades|Amusement Arcades
713210|13-144-155|Arts and Entertainment|Gambling Industries|Casinos
713290|13-144-381|Arts and Entertainment|Gambling Industries|Other Gambling Industries
713910|13-186-263|Arts and Entertainment|Other Amusement and Recreation|Golf Courses and Country Clubs
713920|13-186-485|Arts and Entertainment|Other Amusement and Recreation|Skiing Facilities
713930|13-186-315|Arts and Entertainment|Other Amusement and Recreation|Marinas
713940|13-186-236|Arts and Entertainment|Other Amusement and Recreation|Fitness and Recreational Sports
713950|13-186-144|Arts and Entertainment|Other Amusement and Recreation|Bowling
713990|13-186-363|Arts and Entertainment|Other Amusement and Recreation|Other Amusement and Recreation
721110|12-219-278|Consumer Services|Traveler Accommodation|Hotels and Motels
721120|12-219-154|Consumer Services|Traveler Accommodation|Casino Hotels
721191|12-219-138|Consumer Services|Traveler Accommodation|Bed-and-Breakfast Inns
721199|12-219-414|Consumer Services|Traveler Accommodation|Other Traveler Accommodation
721211|12-202-454|Consumer Services|RV Parks and Recreational Camps|RV Parks and Campgrounds
721214|12-202-462|Consumer Services|RV Parks and Recreational Camps|Recreational and Vacation Camps
721310|12-110-140|Consumer Services|Boarding Houses and Dormitories|Boarding Houses and Dormitories
722310|11-213-242|Food and Drink|Special Food Services|Food Service Contractors
722320|11-213-156|Food and Drink|Special Food Services|Caterers
722330|11-213-327|Food and Drink|Special Food Services|Mobile Food Services
722410|11-128-206|Food and Drink|Drinking Places|Drinking Places
722511|11-131-251|Food and Drink|Eating Places|Full-Service Restaurants
722513|11-131-304|Food and Drink|Eating Places|Limited-Service Restaurants
722514|11-131-152|Food and Drink|Eating Places|Cafeterias and Buffets
722515|11-131-168|Food and Drink|Eating Places|Coffee Shops and Snacks
811111|12-108-258|Consumer Services|Automotive Repair|General Automotive Repair
811112|12-108-130|Consumer Services|Automotive Repair|Automotive Exhaust System Repair
811113|12-108-134|Consumer Services|Automotive Repair|Automotive Transmission Repair
811118|12-108-365|Consumer Services|Automotive Repair|Other Automotive Mechanical and Electrical Repair
811121|12-108-128|Consumer Services|Automotive Repair|Automotive Body, Paint, and Interior Repair
811122|12-108-131|Consumer Services|Automotive Repair|Automotive Glass Replacement Shops
811191|12-108-132|Consumer Services|Automotive Repair|Automotive Oil Change and Lubrication Shops
811192|12-114-153|Consumer Services|Car Washes|Car Washes
811198|12-108-366|Consumer Services|Automotive Repair|Other Automotive Repair
811211|12-134-187|Consumer Services|Electronic Equipment Repair|Consumer Electronics Repair
811212|12-134-181|Consumer Services|Electronic Equipment Repair|Computer and Office Machine Repair
811213|12-134-175|Consumer Services|Electronic Equipment Repair|Communication Equipment Repair
811219|12-134-376|Consumer Services|Electronic Equipment Repair|Other Electronic Equipment Repair
811310|12-160-285|Consumer Services|Industrial Machinery Repair|Industrial Machinery Repair
811411|12-194-277|Consumer Services|Personal Goods Repair|Home and Garden Equipment Repair
811412|12-194-120|Consumer Services|Personal Goods Repair|Appliance Repair
811420|12-194-470|Consumer Services|Personal Goods Repair|Reupholstery and Furniture Repair
811430|12-194-245|Consumer Services|Personal Goods Repair|Footwear and Leather Goods Repair
811490|12-194-402|Consumer Services|Personal Goods Repair|Other Personal and Household Goods Repair
812111|12-193-136|Consumer Services|Personal Care Services|Barber Shops
812112|12-193-137|Consumer Services|Personal Care Services|Beauty Salons
812113|12-193-338|Consumer Services|Personal Care Services|Nail Salons
812191|12-193-202|Consumer Services|Personal Care Services|Diet and Weight Reducing Centers
812199|12-193-400|Consumer Services|Personal Care Services|Other Personal Care Services
812210|12-126-252|Consumer Services|Death Care Services|Funeral Homes and Funeral Services
812220|12-126-158|Consumer Services|Death Care Services|Cemeteries and Crematories
812310|12-130-169|Consumer Services|Drycleaning and Laundry|Coin-Operated Laundries
812320|12-130-208|Consumer Services|Drycleaning and Laundry|Drycleaning and Laundry Services
812331|12-130-305|Consumer Services|Drycleaning and Laundry|Linen Supply
812332|12-130-284|Consumer Services|Drycleaning and Laundry|Industrial Launderers
812910|12-190-425|Consumer Services|Other Personal Services|Pet Care Services
812921|12-190-431|Consumer Services|Other Personal Services|Photofinishing Laboratories
812922|12-190-359|Consumer Services|Other Personal Services|One-Hour Photofinishing
812930|12-190-422|Consumer Services|Other Personal Services|Parking Lots and Garages
812990|12-190-401|Consumer Services|Other Personal Services|Other Personal Services
813110|20-204-468|Civic Organizations|Religious Organizations|Religious Organizations
813211|20-116-265|Civic Organizations|Charitable Services|Grantmaking Foundations
813212|20-116-527|Civic Organizations|Charitable Services|Voluntary Health Organizations
813219|20-116-369|Civic Organizations|Charitable Services|Other Charitable Services
813311|20-209-281|Civic Organizations|Social Advocacy|Human Rights Organizations
813312|20-209-219|Civic Organizations|Social Advocacy|Environment, Conservation and Wildlife Organizations
813319|20-209-407|Civic Organizations|Social Advocacy|Other Social Advocacy Organizations
813410|20-118-164|Civic Organizations|Civic and Social Organizations|Civic and Social Organizations
813910|20-200-147|Civic Organizations|Professional and Political Organizations|Business Associations
813920|20-200-450|Civic Organizations|Professional and Political Organizations|Professional Organizations
813930|20-200-297|Civic Organizations|Professional and Political Organizations|Labor Unions and Similar Organizations
813940|20-200-439|Civic Organizations|Professional and Political Organizations|Political Organizations
813990|20-200-406|Civic Organizations|Professional and Political Organizations|Other Similar Organizations
814110|20-198-448|Civic Organizations|Private Households|Private Households
921110|19-146-221|Government|General Government|Executive Offices
921120|19-146-302|Government|General Government|Legislative Bodies
921130|19-146-452|Government|General Government|Public Finance Activities
921140|19-146-222|Government|General Government|Executive and Legislative Offices, Combined
921150|19-146-116|Government|General Government|American Native Tribal Governments
921190|19-146-383|Government|General Government|Other General Government Support
922110|19-167-194|Government|Justice and Public Order|Courts
922120|19-167-438|Government|Justice and Public Order|Police Protection
922130|19-167-300|Government|Justice and Public Order|Legal Counsel and Prosecution
922140|19-167-190|Government|Justice and Public Order|Correctional Institutions
922150|19-167-423|Government|Justice and Public Order|Parole Offices and Probation Offices
922160|19-167-232|Government|Justice and Public Order|Fire Protection
922190|19-167-393|Government|Justice and Public Order|Other Justice and Public Order Activities
923110|19-158-104|Government|Human Resource Programs|Administration of Education Programs
923120|19-158-108|Government|Human Resource Programs|Administration of Public Health Programs
923130|19-158-107|Government|Human Resource Programs|Administration of Human Resource Programs
923140|19-158-111|Government|Human Resource Programs|Administration of Veterans' Affairs
924110|19-137-112|Government|Environmental Quality Programs|Administration of Waste Management Programs
924120|19-137-103|Government|Environmental Quality Programs|Administration of Conservation Programs
925110|19-220-106|Government|Urban Planning and Community Development|Administration of Housing Programs
925120|19-220-110|Government|Urban Planning and Community Development|Administration of Urban Planning and Community Development
926110|19-132-105|Government|Economic Programs|Administration of General Economic Programs
926120|19-132-109|Government|Economic Programs|Administration of Transportation Programs
926130|19-132-102|Government|Economic Programs|Administration of Communications and Utilities
926140|19-132-465|Government|Economic Programs|Regulation of Agricultural Marketing and Commodities
926150|19-132-466|Government|Economic Programs|Regulation of Miscellaneous Commercial Sectors
927110|19-212-489|Government|Space Research and Technology|Space Research and Technology
928110|19-181-339|Government|National Security and International Affairs|National Security
928120|19-181-290|Government|National Security and International Affairs|International Affairs
